SETTLEMENTDATE,TOTALDEMAND_2019,TOTALDEMAND_2020
00:00:00,9549.022551440326,26496.638729508202
01:00:00,8892.786543209873,24771.219549180314
02:00:00,8328.786378600822,23129.63946721312
03:00:00,7998.616090534982,22080.705204918024
04:00:00,7972.640699588481,21889.226024590167
05:00:00,8329.048065843619,22717.011270491796
06:00:00,9222.841934156382,24905.32323770491
07:00:00,10230.092345679015,27452.652909836062
08:00:00,10751.841522633746,29191.652008196717
09:00:00,10747.058971193417,29411.33024590166
10:00:00,10506.837736625515,28269.95663934425
11:00:00,10265.176213991768,27151.497540983615
12:00:00,10140.96172839506,26644.325040983633
13:00:00,10148.877283950615,26543.35975409839
14:00:00,10290.966172839515,26702.251844262304
15:00:00,10540.751975308636,27347.775450819663
16:00:00,11012.469341563783,28942.95159836065
17:00:00,11613.217283950624,31400.492254098364
18:00:00,12091.285267489713,33548.6055327869
19:00:00,11853.03279835391,32927.890696721304
20:00:00,11370.683497942386,31354.139549180334
21:00:00,10751.286584362144,29568.548934426217
22:00:00,10022.678518518516,27664.116680327876
23:00:00,9719.479506172847,26852.02508196721
